Wavelength,,,,
nm,,,,
Type,DurSynth,DurSynth,DurSynth,DurSynth
AA,Cys,Glu,Phe,Try
experim,1,2,3,4
300,0.689852,0.48097,0.455984,-0.437256
301,0.515484,0.370706,0.330295,-0.547507
302,0.55843,0.443498,0.240764,-0.591522
303,0.468895,0.360603,0.120217,-0.704537
304,0.586499,0.316308,0.170549,-0.719297
305,0.577632,0.285032,0.136125,-0.667277
306,0.566342,0.356501,0.0281908,-0.649796
307,0.548182,0.269868,-0.0925304,-0.556606
308,0.63221,0.217605,-0.0496395,-0.422466
309,0.63098,0.182149,-0.0107858,-0.482069
310,0.618856,0.205116,0.00411052,-0.419939
311,0.652658,0.0728265,0.0235037,-0.507802
312,0.70322,0.0587727,-0.0271081,-0.531937
313,0.808757,0.0728238,-0.0217316,-0.528127
314,0.703171,0.0869595,0.00682115,-0.65778
315,0.856501,0.147455,0.0702572,-0.741828
316,0.722135,0.189641,0.215259,-0.762087
317,0.721805,0.309088,0.213782,-0.880574
318,0.767918,0.361446,0.262092,-0.829586
319,0.695826,0.389329,0.195808,-0.888633
320,0.765747,0.439505,0.273539,-0.911524
321,0.768104,0.441768,0.321311,-0.88755
322,0.730832,0.409821,0.364075,-0.898937
323,0.733064,0.360444,0.346675,-1.01329
324,0.671157,0.356333,0.343706,-1.01462
325,0.738899,0.310552,0.401089,-0.982697
326,0.749253,0.196776,0.359627,-1.11393
327,0.724657,0.0794946,0.285104,-1.11739
328,0.744538,-0.0448038,0.23076,-1.2126
329,0.724104,0.0237634,0.237357,-1.22072
330,0.587107,-0.0402999,0.115816,-1.34592
331,0.696603,-0.0533345,0.187907,-1.39319
332,0.730187,-0.0863866,0.0388209,-1.32102
333,0.739027,-0.0686607,-0.0156481,-1.29763
334,0.69139,-0.111755,-0.142892,-1.32989
335,0.757829,-0.0941842,-0.17796,-1.33998
336,0.771269,0.0276042,-0.105143,-1.28705
337,0.704569,0.0918259,-0.135406,-1.30962
338,0.750132,0.0264645,-0.165573,-1.3103
339,0.813826,0.0817099,-0.12072,-1.30151
340,0.702633,-0.0277311,-0.204041,-1.35825
341,0.73672,0.0573445,-0.0487342,-1.25261
342,0.696091,0.0949583,-0.00770852,-1.28088
343,0.703324,0.166092,0.0660279,-1.34013
344,0.589126,0.166688,0.0833379,-1.33099
345,0.531802,0.117921,0.147855,-1.42762
346,0.581076,0.136194,0.174596,-1.35756
347,0.637011,0.121425,0.271708,-1.36113
348,0.63312,0.0325207,0.252198,-1.38113
349,0.674104,0.181565,0.307179,-1.32771
350,0.663755,0.272201,0.302508,-1.31556
351,0.58965,0.222656,0.240611,-1.46186
352,0.630519,0.218154,0.266918,-1.42323
353,0.689146,0.186346,0.354664,-1.43302
354,0.653052,0.21086,0.413265,-1.4608
355,0.627052,0.0776891,0.425622,-1.42838
356,0.557006,0.204251,0.41859,-1.44069
357,0.602816,0.273772,0.444093,-1.3195
358,0.542781,0.261711,0.496312,-1.29278
359,0.551929,0.241123,0.532739,-1.34973
360,0.663845,0.313663,0.620842,-1.31008
361,0.686762,0.340482,0.680756,-1.28681
362,0.63007,0.342264,0.670487,-1.40087
363,0.628418,0.373222,0.5319,-1.36377
364,0.64139,0.440892,0.535312,-1.31116
365,0.570415,0.480506,0.530445,-1.28909
366,0.555684,0.391692,0.483052,-1.34731
367,0.525256,0.317681,0.42285,-1.42629
368,0.613692,0.328678,0.416614,-1.46004
369,0.620307,0.297463,0.385596,-1.41126
370,0.631108,0.256968,0.42641,-1.32304
371,0.687216,0.241259,0.435407,-1.25959
372,0.637816,0.175462,0.452107,-1.25961
373,0.746765,0.142492,0.478608,-1.1847
374,0.789281,0.162603,0.554414,-1.17169
375,0.786267,0.066745,0.516982,-1.22096
376,0.79428,0.112367,0.528526,-1.21131
377,0.760577,0.133679,0.571784,-1.1858
378,0.802264,0.198129,0.591505,-1.19655
379,0.730235,0.152513,0.533067,-1.36952
380,0.749934,0.171708,0.482979,-1.38832
381,0.773994,0.214901,0.471708,-1.35811
382,0.693011,0.292925,0.502259,-1.37396
383,0.709388,0.300905,0.417484,-1.3263
384,0.804776,0.422245,0.600594,-1.21168
385,0.800332,0.445885,0.64043,-1.16771
386,0.759606,0.468757,0.590317,-1.19706
387,0.738705,0.410968,0.668087,-1.08423
388,0.754503,0.421649,0.735515,-1.03
389,0.719271,0.419132,0.722672,-0.919914
390,0.75869,0.54499,0.787199,-0.853996
391,0.81656,0.614712,0.938561,-0.775945
392,0.782199,0.546399,0.947481,-0.812431
393,0.727079,0.507551,0.954807,-0.92114
394,0.635644,0.423139,0.88232,-0.879637
395,0.654661,0.390567,0.908665,-0.935128
396,0.628001,0.381086,0.906159,-1.00319
397,0.677964,0.44101,0.946764,-0.883536
398,0.74708,0.530437,1.04972,-1.01125
399,0.774441,0.454546,1.08269,-1.05187
400,0.66781,0.438122,0.948453,-1.05684
401,0.697983,0.399963,0.805607,-1.18066
402,0.751445,0.417387,0.81171,-1.15103
403,0.762002,0.518522,0.760855,-1.17907
404,0.84081,0.556351,0.745639,-1.18278
405,0.919754,0.582776,0.727006,-1.14416
406,0.917528,0.534448,0.637346,-1.2042
407,0.966217,0.542211,0.637085,-1.20912
408,0.907226,0.569692,0.608913,-1.21069
409,0.945875,0.585599,0.638443,-1.21023
410,0.996453,0.575408,0.766457,-1.13593
411,0.907415,0.550724,0.743863,-1.19548
412,0.977971,0.538528,0.838526,-1.08479
413,0.921508,0.494783,0.814771,-0.980089
414,0.855678,0.535463,0.746972,-0.926831
415,0.853336,0.552748,0.80287,-0.952553
416,0.866921,0.505789,0.854229,-0.872672
417,0.789369,0.579486,0.882967,-0.931722
418,0.701442,0.524016,0.815766,-0.8801
419,0.692993,0.54163,0.857828,-0.865866
420,0.739152,0.61182,0.829905,-0.828344
421,0.654655,0.564762,0.8132,-0.871374
422,0.723155,0.675502,0.896166,-0.866419
423,0.805849,0.656495,0.984821,-0.855246
424,0.723465,0.593915,0.961524,-0.867037
425,0.732168,0.596601,0.905726,-0.89884
426,0.725115,0.580168,0.910591,-0.925201
427,0.805368,0.48241,0.930436,-0.904544
428,0.827677,0.525229,0.966952,-0.84268
429,0.779534,0.464646,0.92404,-0.943824
430,0.855918,0.447256,0.992968,-0.97387
431,0.848984,0.435012,0.95793,-0.978302
432,0.855567,0.429787,0.937835,-1.1111
433,0.831306,0.31022,0.938928,-1.11036
434,0.931049,0.475225,0.965315,-1.03791
435,0.91384,0.388103,0.925337,-0.995315
436,0.966135,0.387239,0.855085,-0.927803
437,0.960261,0.386905,0.790993,-0.937469
438,0.972717,0.412486,0.804319,-0.880292
439,0.967386,0.529987,0.801293,-0.764574
440,0.98577,0.544561,0.818775,-0.648648
441,0.821281,0.558833,0.890044,-0.768319
442,0.842898,0.559439,0.949933,-0.799079
443,0.914188,0.575332,1.04334,-0.61732
444,0.855644,0.484605,1.07262,-0.707669
445,0.954771,0.706001,1.17932,-0.687622
446,0.895517,0.724112,1.26272,-0.741452
447,0.959967,0.769091,1.21639,-0.706801
448,0.900749,0.585238,1.18519,-0.841699
449,1.02255,0.612366,1.19591,-0.915336
450,1.05544,0.646362,1.20078,-0.848269
451,1.12785,0.696504,1.10077,-0.729284
452,1.12962,0.66737,1.11663,-0.784967
453,1.16516,0.69626,1.18159,-0.759371
454,1.21164,0.77898,1.15845,-0.754218
455,1.20055,0.652901,1.12004,-0.721607
456,1.2405,0.615683,1.16033,-0.73242
457,1.3034,0.67054,1.21089,-0.658049
458,1.32652,0.709515,1.2261,-0.575661
459,1.30646,0.719331,1.27334,-0.557105
460,1.25631,0.649789,1.26552,-0.618377
461,1.29125,0.635995,1.33202,-0.61951
462,1.25267,0.642389,1.21924,-0.558851
463,1.24745,0.569118,1.21017,-0.556815
464,1.18229,0.501773,1.27481,-0.537318
465,1.26638,0.523962,1.29357,-0.599314
466,1.32607,0.534295,1.38485,-0.501905
467,1.206,0.489398,1.34132,-0.581608
468,1.16427,0.473689,1.30154,-0.637429
469,1.26877,0.506207,1.36255,-0.576941
470,1.30428,0.501344,1.35395,-0.46687
471,1.22799,0.495011,1.35765,-0.519583
472,1.26372,0.442818,1.39586,-0.479209
473,1.20021,0.552548,1.3819,-0.49135
474,1.18376,0.542712,1.30704,-0.499802
475,1.17995,0.649722,1.35188,-0.499444
476,1.23411,0.710144,1.41523,-0.505157
477,1.28076,0.741595,1.41106,-0.554009
478,1.28209,0.731343,1.38482,-0.536427
479,1.21342,0.703475,1.39894,-0.526862
480,1.25829,0.813553,1.48335,-0.567239
481,1.26234,0.878245,1.48087,-0.593293
482,1.2511,0.779221,1.42031,-0.604812
483,1.37327,0.874294,1.50484,-0.522718
484,1.36297,0.797776,1.52604,-0.470208
485,1.3771,0.751849,1.45171,-0.436552
486,1.32633,0.675404,1.43791,-0.410098
487,1.3339,0.668107,1.46999,-0.392396
488,1.4439,0.773819,1.45471,-0.332931
489,1.50587,0.724483,1.50779,-0.225523
490,1.61868,0.713051,1.55396,-0.196556
491,1.57281,0.672588,1.61874,-0.13228
492,1.53676,0.697398,1.69946,-0.0480398
493,1.61904,0.715261,1.76319,0.11275
494,1.48355,0.673648,1.77441,0.120379
495,1.36648,0.700902,1.71622,0.189845
496,1.36748,0.767329,1.70486,0.303188
497,1.27797,0.674433,1.66159,0.374579
498,1.20634,0.634844,1.6213,0.258778
499,1.15583,0.588011,1.49456,0.275709
500,1.06576,0.681236,1.45421,0.321154
501,1.16073,0.684129,1.40156,0.289732
502,1.08027,0.633612,1.30478,0.159974
503,1.16881,0.806544,1.35934,0.288679
504,1.23416,0.824528,1.33524,0.206116
505,1.31519,0.783418,1.42601,0.151287
506,1.3543,0.787463,1.47874,0.0546214
507,1.36462,0.849184,1.51169,0.0652775
508,1.33058,0.771478,1.56054,-0.0070423
509,1.45847,0.795666,1.66556,0.0598082
510,1.6145,0.805962,1.7683,0.0391694
511,1.69883,0.887213,1.78429,0.203358
512,1.61746,0.733349,1.70017,0.14842
513,1.6836,0.805677,1.74575,0.222608
514,1.65416,0.752412,1.69449,0.205107
515,1.7048,0.738964,1.61637,0.326185
516,1.59187,0.691525,1.52703,0.266773
517,1.57562,0.781384,1.59751,0.437805
518,1.43485,0.740723,1.59101,0.515163
519,1.25172,0.638721,1.54981,0.441891
520,1.19691,0.509262,1.54552,0.316111
521,1.14355,0.599173,1.56862,0.363762
522,1.08186,0.53427,1.47827,0.437988
523,1.05468,0.51384,1.49175,0.501859
524,1.01424,0.563706,1.4906,0.532876
525,0.937716,0.535396,1.55629,0.583334
526,0.976538,0.509067,1.60859,0.533053
527,1.02121,0.548349,1.53805,0.573672
528,1.06903,0.712497,1.53779,0.638384
529,1.07349,0.740518,1.48844,0.641654
530,1.11097,0.759479,1.52495,0.575681
531,1.05993,0.812754,1.50255,0.449682
532,1.14136,0.930784,1.59163,0.428994
533,1.14836,0.88471,1.63086,0.428273
534,1.29676,1.01218,1.68976,0.470442
535,1.32376,0.956426,1.65193,0.331702
536,1.36499,0.908974,1.6199,0.241131
537,1.47671,1.01302,1.59581,0.237661
538,1.46153,1.03365,1.56585,0.311332
539,1.44114,0.933222,1.60282,0.292706
540,1.47433,0.933619,1.61291,0.434302
541,1.48051,0.826293,1.54438,0.354052
542,1.39923,0.771609,1.51908,0.290378
543,1.32908,0.622581,1.45983,0.199626
544,1.39361,0.615871,1.57977,0.223925
545,1.40823,0.603885,1.60016,0.24908
546,1.30628,0.491768,1.43869,0.239521
547,1.27738,0.381684,1.44704,0.157828
548,1.32368,0.401037,1.41635,0.173294
549,1.19592,0.300717,1.30169,0.0918114
550,1.31162,0.301781,1.2522,0.0154875
551,1.30073,0.375019,1.28719,0.0971121
552,1.30676,0.376271,1.31776,0.128788
553,1.28275,0.346066,1.1622,0.176566
554,1.19617,0.361312,1.09872,0.184192
555,1.14181,0.449128,1.23763,0.236535
556,1.1136,0.285889,1.13764,0.250795
557,1.23072,0.407993,1.20619,0.22363
558,1.32234,0.423663,1.32713,0.399032
559,1.23715,0.513581,1.32297,0.39634
560,1.3252,0.488454,1.3743,0.364614
561,1.31247,0.523546,1.32463,0.283376
562,1.28789,0.692019,1.47768,0.212796
563,1.38293,0.81082,1.42507,0.200742
564,1.47178,0.737062,1.32208,0.16443
565,1.53972,0.849235,1.48737,0.255239
566,1.55181,0.896301,1.44593,0.18403
567,1.53854,0.958022,1.43172,0.133824
568,1.44464,0.899039,1.37421,0.0474344
569,1.39144,0.84125,1.27668,0.0870102
570,1.48863,0.929809,1.30941,0.26046
571,1.4187,0.800593,1.29587,0.248051
572,1.45461,0.881717,1.4297,0.38935
573,1.36318,0.890741,1.46394,0.37928
574,1.3586,0.897745,1.39213,0.304147
575,1.24502,0.806292,1.26712,0.341873
576,1.25981,0.793326,1.25899,0.392542
577,1.2966,0.911725,1.37974,0.421438
578,1.23274,0.937027,1.4657,0.460801
579,1.25287,0.898981,1.4077,0.295587
580,1.26744,0.906062,1.43753,0.482504
581,1.27037,0.8525,1.46491,0.547413
582,1.31241,0.847295,1.58613,0.483311
583,1.36979,0.920001,1.52738,0.594325
584,1.46259,0.902957,1.65053,0.567033
585,1.45438,0.926325,1.6382,0.484083
586,1.32134,0.821942,1.47343,0.51143
587,1.27637,0.64799,1.3063,0.387236
588,1.15664,0.634433,1.32165,0.503211
589,1.07456,0.660415,1.22777,0.325403
590,1.21167,0.721099,1.26383,0.35619
591,1.17995,0.791858,1.10751,0.412047
592,1.2818,0.770653,1.08255,0.4039
593,1.26134,0.718255,1.11645,0.459633
594,1.21436,0.843695,1.17588,0.446073
595,1.20851,0.916352,1.17612,0.557233
596,1.36801,1.0062,1.21498,0.58589
597,1.37365,1.04884,1.2133,0.532134
598,1.44162,1.002,1.17974,0.5047
599,1.4228,0.965847,1.25537,0.55359
600,1.28353,0.872715,1.31154,0.461244
601,1.23082,0.951403,1.43148,0.558221
602,1.38533,1.12216,1.64942,0.647279
603,1.43525,1.07785,1.49979,0.716311
604,1.55982,1.06464,1.57002,0.704416
605,1.56603,1.0974,1.67096,0.761839
606,1.54974,1.03303,1.69904,0.713365
607,1.48573,1.05975,1.6752,0.709658
608,1.56083,1.17869,1.67329,0.780548
609,1.61819,1.1995,1.70006,0.797267
610,1.55484,1.16663,1.64249,0.769889
611,1.61839,1.15981,1.61589,0.836167
612,1.44965,1.16723,1.56947,0.735588
613,1.39218,1.15165,1.61273,0.693254
614,1.36631,1.27562,1.5879,0.68771
615,1.4655,1.3146,1.61835,0.785732
616,1.57261,1.48479,1.72288,0.865328
617,1.6087,1.43936,1.74533,0.889688
618,1.68694,1.57832,1.75027,0.996461
619,1.80719,1.64393,1.83695,1.04341
620,1.73571,1.72518,1.84338,1.01181
621,1.82498,1.74355,1.82638,1.06296
622,1.85863,1.63695,1.89281,1.15385
623,1.84596,1.58508,1.84292,1.07772
624,1.83261,1.62245,1.89396,1.15798
625,1.79406,1.68794,1.90303,1.16422
626,1.70811,1.63208,1.80138,1.14669
627,1.75975,1.6309,1.80215,1.20821
628,1.65967,1.61725,1.77634,1.0593
629,1.70369,1.76694,1.92367,1.19112
630,1.82351,1.75202,2.08927,1.15604
631,1.78617,1.72291,1.99807,0.991753
632,1.76123,1.75994,1.92781,0.944983
633,1.75954,1.64267,1.84598,0.911672
634,1.73642,1.66443,1.81943,0.885653
635,1.82976,1.64039,1.93121,0.962381
636,1.7803,1.69024,1.97099,0.927842
637,1.73811,1.48608,1.82287,0.922763
638,1.7312,1.41133,1.60007,0.833858
639,1.87887,1.48584,1.62759,1.05553
640,1.86073,1.65004,1.71091,1.24626
641,1.96998,1.78855,1.90179,1.47807
642,2.00442,1.96832,2.11464,1.57482
643,1.9158,1.96798,2.07459,1.46216
644,2.21032,2.06878,2.17835,1.60054
645,2.34572,2.18247,2.26142,1.63392
646,2.3436,2.21026,2.33803,1.61864
647,2.3986,2.24569,2.48961,1.73001
648,2.1944,2.07219,2.413,1.51798
649,2.02647,1.91518,2.19917,1.3971
650,2.09368,1.97239,2.31805,1.3086
651,1.95164,1.80738,2.12702,1.10166
652,1.99814,1.84342,2.14163,1.20387
653,2.0421,1.83543,2.21804,1.22436
654,1.92164,1.77526,2.13847,1.18081
655,1.93729,1.65448,2.09223,1.15367
656,1.97289,1.82456,1.99591,1.12703
657,2.00913,1.8719,2.02635,1.09576
658,2.04211,1.7988,2.11121,1.02003
659,2.0343,1.83743,2.04103,1.05462
660,2.04688,1.93011,2.09618,1.24774
661,1.98819,1.85665,2.03001,1.1437
662,2.00969,1.77686,2.00823,1.07835
663,1.93422,1.81319,1.99452,1.10319
664,2.01079,1.83806,1.93935,1.06503
665,1.84763,1.67332,1.85259,1.03998
666,1.93146,1.63468,1.98275,1.11442
667,1.95667,1.76538,2.14625,1.16642
668,1.96421,1.74363,2.12855,1.2271
669,1.86571,1.67553,2.08288,1.14154
670,2.03789,1.7655,2.15303,1.20976
671,2.04747,1.80901,2.07247,1.20614
672,2.10633,1.83555,2.07329,1.26435
673,2.0651,1.64541,1.95968,1.13657
674,1.98721,1.58765,1.9244,1.09401
675,2.15805,1.79845,1.98962,1.05028
676,2.10134,1.72384,1.78807,1.08319
677,2.14835,1.7381,1.76488,1.16598
678,2.07888,1.61757,1.58897,1.09057
679,2.15468,1.67975,1.71942,1.08565
680,2.1386,1.66345,1.81997,1.12547
681,2.08632,1.7023,1.98056,1.17153
682,2.20786,1.93037,2.25856,1.35551
683,2.33782,2.04375,2.30436,1.52325
684,2.36545,2.10812,2.52805,1.63731
685,2.40776,2.18824,2.59353,1.52966
686,2.47081,2.2532,2.66816,1.56326
687,2.53128,2.34666,2.7955,1.70249
688,2.49006,2.26912,2.7792,1.608
689,2.67946,2.43083,2.82463,1.49059
690,2.65665,2.37717,2.70141,1.34666
691,2.60547,2.44685,2.56471,1.23008
692,2.46406,2.33067,2.52828,0.999094
693,2.28879,2.10352,2.33967,0.855824
694,2.30057,2.04188,2.24816,0.863812
695,2.13954,2.01088,2.05358,0.84133
696,2.11023,2.05156,2.08943,0.821746
697,2.34107,2.17912,2.19492,0.932551
698,2.22795,2.15155,2.20601,1.02363
699,2.20851,2.15512,2.22344,1.05132
700,2.34432,2.13021,2.20274,1.11249
701,2.49464,2.16082,2.26534,1.26871
702,2.68756,2.33824,2.2742,1.36981
703,2.55214,2.25803,2.19701,1.28659
704,2.67858,2.40701,2.36734,1.40414
705,2.6393,2.28704,2.37205,1.23555
706,2.60505,2.23298,2.2492,1.19343
707,2.39651,2.22785,2.13148,1.15427
708,2.4607,2.34149,2.08172,1.21392
709,2.47444,2.34103,2.13289,1.26904
710,2.54931,2.51461,2.28684,1.3516
711,2.54664,2.55755,2.30442,1.422
712,2.65554,2.60932,2.51644,1.36874
713,2.78893,2.61359,2.41753,1.31996
714,2.84143,2.65183,2.44681,1.29236
715,2.67512,2.51101,2.19637,1.16686
716,2.72119,2.44375,2.1458,1.16627
717,2.57043,2.14271,2.06839,1.0147
718,2.65451,2.14907,2.1268,1.12228
719,2.51014,2.0186,1.99245,0.912622
720,2.43823,1.92932,1.93472,0.947758
721,2.60242,2.01539,1.98964,1.1345
722,2.57291,2.07764,2.1469,1.25621
723,2.60511,2.13639,2.31413,1.48296
724,2.64483,2.18456,2.48362,1.62532
725,2.62297,2.17227,2.53668,1.73465
726,2.89083,2.37389,2.62766,1.8613
727,2.9307,2.46435,2.66212,1.73781
728,3.00124,2.56469,2.7217,1.93324
729,2.99141,2.57931,2.79891,1.94424
730,2.80833,2.63425,2.65739,1.82809
731,2.88574,2.7518,2.65286,1.78624
732,2.8008,2.65623,2.60945,1.61134
733,2.88805,2.85438,2.71138,1.75897
734,2.92813,2.89432,2.72163,1.71971
735,2.81504,2.70471,2.60325,1.51538
736,2.59385,2.59764,2.52044,1.48777
737,2.51226,2.46449,2.42567,1.38113
738,2.5702,2.57833,2.48105,1.34123
739,2.59224,2.36275,2.3617,1.17226
740,2.50446,2.17703,2.3137,1.07091
741,2.62215,2.27064,2.3589,1.24103
742,2.6395,2.16801,2.38095,1.08168
743,2.60313,2.20206,2.36515,1.19054
744,2.71374,2.35663,2.54538,1.27405
745,2.76519,2.34983,2.59229,1.33254
746,2.92078,2.35902,2.75145,1.32456
747,2.7519,2.22875,2.56522,1.07424
748,2.76592,2.14763,2.60873,1.13318
749,2.73626,2.16,2.58026,1.07621
750,2.72417,2.14899,2.55918,1.12996
751,2.61217,2.10853,2.30586,1.04121
752,2.42809,1.88102,2.02548,0.75898
753,2.40788,1.66001,1.90239,0.602849
754,2.44081,1.7464,1.91398,0.739151
755,2.37148,1.69919,1.86229,0.788304
756,2.31934,1.6651,1.87364,0.853798
757,2.29683,1.85726,1.85468,0.859541
758,1.95445,1.66873,1.59197,0.724065
759,1.9924,1.7067,1.56151,0.736356
760,2.10241,1.82243,1.79863,0.854966
761,2.42003,2.09459,2.13394,1.14405
762,2.55611,2.36002,2.36045,1.36063
763,2.80057,2.69085,2.56689,1.36873
764,3.15825,2.98435,2.83638,1.56109
765,3.41042,3.2929,3.05543,1.6347
766,3.3373,3.1203,3.09331,1.70413
767,3.57322,3.26612,3.40163,1.85027
768,3.37761,3.10826,3.35853,1.70979
769,3.15579,2.94034,3.16379,1.5297
770,2.87246,2.76149,2.99016,1.38136
771,2.64158,2.69107,2.87706,1.25539
772,2.16324,2.2449,2.49863,0.836477
773,1.99264,1.95986,2.20625,0.676541
774,1.76031,1.62035,1.88301,0.582725
775,1.63313,1.54542,1.81591,0.604952
776,1.68445,1.52597,1.75531,0.568994
777,1.78686,1.62931,1.59252,0.642783
778,1.67639,1.43879,1.51904,0.56202
779,1.81273,1.56205,1.55239,0.438099
780,1.78674,1.46776,1.48466,0.482426
781,1.89087,1.52094,1.54352,0.723059
782,1.81355,1.59072,1.65354,0.908188
783,1.93208,1.78307,1.85018,1.12848
784,1.93645,1.85147,1.96933,1.21348
785,2.01339,1.9449,2.03984,1.34219
786,2.08844,1.95801,2.21804,1.45733
787,2.33846,2.22353,2.39107,1.63521
788,2.35248,2.16019,2.47398,1.73432
789,2.47574,2.20634,2.41042,1.75881
790,2.56146,2.18725,2.48148,1.68076
791,2.7069,2.26481,2.56811,1.83512
792,2.34686,1.99536,2.36628,1.51898
793,2.5277,2.21169,2.47736,1.60853
794,2.36992,2.01884,2.24575,1.37601
795,2.44157,1.92405,2.21798,1.32459
796,2.34145,1.86424,2.11379,1.23687
797,2.20878,1.76823,2.10315,1.28994
798,2.24785,1.69283,2.0968,1.21452
799,2.25118,1.59678,1.99562,1.1478
800,2.16677,1.74451,2.18462,1.21259
